Species	c14.0	c16.0	c16.1w7	c16.2w6	c16.2w4	c16.3w6	c17.0	c16.3w4	c16.3w1	c16.4w1	c18.0	c18.1w9	c18.1w7	c18.2w6	c18.2w4	c18.3w6	c18.3w4	c18.3w3	c18.3w1	c18.4w3	c18.4w1	c20.1w11	c20.1w9	c20.1w7	c20.2w6	c20.3w6	c20.4w6	c20.3w3	c20.4w3	c20.5w3	c22.1w11	c22.1w9	c22.1w7	c22.2w6	c21.5w3	c22.4w6	c22.5w6	c22.4w3	c22.5w3	c22.6w3
Butterfish	0.05572889	0.193007	0.03464228	4.30E-04	0.01398601	0.00182894	0.009359871	7.53E-04	0	0.001721356	0.05529855	0.1997848	0.02227004	0.01226466	7.53E-04	5.38E-04	6.46E-04	0.0105433	0.003335126	0.01495428	8.61E-04	0.001613771	0.04142012	0.005594406	0.003119957	4.30E-04	0.01463152	0.002151694	0.01032813	0.06013986	0.01871974	0.01613771	9.68E-04	0	0.002366864	0.003980635	0.005486821	0.001183432	0.02894029	0.1500807
Butterfish	0.05707517	0.1850097	0.03499892	4.31E-04	0.01378419	0.002476847	0.009368942	0.001184579	0	0.002799914	0.05298299	0.1810252	0.02261469	0.01023045	0.00107689	4.31E-04	6.46E-04	0.009907387	0.003553737	0.01303037	0.001184579	0.001938402	0.04619858	0.007968986	0.002907603	3.23E-04	0.01496877	0.002261469	0.009907387	0.07172087	0.02972216	0.0215378	0.001507646	0	0.002799914	0.003661426	0.005169072	0.00107689	0.0303683	0.1421495
Butterfish	0.05857158	0.1919906	0.035764	4.28E-04	0.01392012	0.002676946	0.007923761	0.001392012	0	0.003212335	0.05139737	0.1769997	0.02109434	0.007281294	0.001284934	3.21E-04	6.42E-04	0.008137916	0.003426491	0.01070778	0.001392012	0.002355713	0.05632295	0.01027947	0.00299818	3.21E-04	0.0149909	0.002248635	0.008352072	0.07067138	0.03940465	0.02966056	0.001820323	0	0.002784024	0.003747725	0.004925581	0.001070778	0.02966056	0.1198201
Butterfish	0.06169803	0.1855218	0.03346878	5.35E-04	0.01582549	0.002673225	0.008126604	0.001497006	0	0.003314799	0.05367836	0.2069076	0.01999572	0.008768178	0.001176219	3.21E-04	7.49E-04	0.007164243	0.003742515	0.009088965	0.001283148	0.002031651	0.05399914	0.009302823	0.003314799	3.21E-04	0.0147562	0.001924722	0.00641574	0.06287425	0.03175791	0.03026091	0.001817793	0	0.002459367	0.00320787	0.005025663	7.49E-04	0.02480753	0.1194397
Butterfish	0.04539023	0.1626211	0.0294982	2.18E-04	0.01480353	8.71E-04	0.006966366	3.27E-04	0	5.44E-04	0.05409818	0.1694786	0.01861326	0.007619462	7.62E-04	0.003047785	6.53E-04	0.006748667	0.002938935	0.007728312	4.35E-04	0.006313269	0.05910526	0.02557962	0.006313269	9.80E-04	0.02296724	0.003592032	0.007075215	0.07260259	0.05453358	0.03396103	0.002830086	0.001415043	0.001741591	0.007401763	0.007946011	0.001197344	0.03309024	0.1179928
Butterfish	0.0563681	0.1783922	0.03213409	6.41E-04	0.01462581	8.54E-04	0.006298708	1.07E-04	0	0.001814882	0.05455322	0.2026262	0.02305968	0.008540621	5.34E-04	3.20E-04	5.34E-04	0.007579801	0.003416249	0.007366286	3.20E-04	0.001067578	0.03693819	0.01676097	0.004910857	4.27E-04	0.01804206	0.002348671	0.00811359	0.06458845	0.009821715	0.0460126	0.002455429	4.27E-04	0.001708124	0.004270311	0.007366286	7.47E-04	0.0240205	0.1498879
Butterfish	0.06153685	0.1723451	0.03658664	6.29E-04	0.0124751	0.001677325	0.005660971	1.05E-04	0	0.00262082	0.05283573	0.2011741	0.02232938	0.007652794	8.39E-04	3.14E-04	2.10E-04	0.007443128	0.002830485	0.007652794	8.39E-04	0.001677325	0.03878813	0.01520075	0.003983646	3.14E-04	0.01541042	0.002096656	0.007338295	0.0709718	0.01582975	0.04843275	0.001991823	2.10E-04	0.002201489	0.004088479	0.006289968	9.43E-04	0.02337771	0.1430968
Butterfish	0.05229947	0.1776471	0.02973262	5.35E-04	0.0168984	8.56E-04	0.006524064	1.07E-04	8.56E-04	5.35E-04	0.05240642	0.2458824	0.02245989	0.009304813	5.35E-04	0.001497326	6.42E-04	0.007486631	0.003208556	0.009625668	1.07E-04	0.002139037	0.04406417	0.01048128	0.004919786	6.42E-04	0.02064171	0.002352941	0.008342246	0.04951872	0.02128342	0.02748663	0.001604278	5.35E-04	0.001390374	0.005347594	0.007379679	6.42E-04	0.02470588	0.1273797
Butterfish	0.05272727	0.1880214	0.03336898	4.28E-04	0.01561497	0.001069519	0.007058824	1.07E-04	0.002032086	0.001069519	0.05540107	0.2336898	0.02770053	0.007593583	6.42E-04	0.002673797	6.42E-04	0.005561497	0.003101604	0.005989305	3.21E-04	0.001283422	0.04160428	0.01465241	0.004812834	9.63E-04	0.02481283	0.002352941	0.006417112	0.04994652	0.01668449	0.03604278	0.002139037	8.56E-04	0.001390374	0.007379679	0.008877005	6.42E-04	0.0228877	0.1114439
Butterfish	0.03990132	0.1608924	0.0296042	4.29E-04	0.01587472	7.51E-04	0.00600665	1.07E-04	0.001287139	5.36E-04	0.05641961	0.321463	0.02788802	0.006435697	7.51E-04	0.003003325	7.51E-04	0.004290464	0.002896063	0.005255819	2.15E-04	0.002037971	0.03657621	0.01533841	0.004290464	0.001072616	0.02005792	0.002359755	0.006864743	0.05159283	0.01887804	0.02574279	0.002145232	7.51E-04	0.001287139	0.004826772	0.006972005	7.51E-04	0.02456291	0.0891344
Butterfish	0.04234667	0.1946667	0.02208	1.07E-04	0.01642667	3.20E-04	0.006293333	2.13E-04	3.20E-04	2.13E-04	0.05802667	0.3143467	0.02336	0.00512	4.27E-04	0.003093333	6.40E-04	0.003733333	0.002986667	0.00384	1.07E-04	0	0.04256	0.01578667	0.00416	0.001386667	0.01642667	0.00224	0.005653333	0.04117333	0.002666667	0.03509333	0.002666667	8.53E-04	0.001066667	0.004906667	0.006186667	6.40E-04	0.02261333	0.09525333
Butterfish	0.03906418	0.1726765	0.02489805	5.37E-04	0.015132	6.44E-04	0.006009873	1.07E-04	7.51E-04	8.59E-04	0.06321099	0.3260356	0.02253703	0.004722043	5.37E-04	1.07E-04	5.37E-04	0.004185448	0.002790298	0.004078128	4.29E-04	8.59E-04	0.03970809	0.01695643	0.004292767	2.15E-04	0.01963941	0.002039064	0.005365958	0.05290835	0.007619661	0.02607856	0.002253703	0	0.001395149	0.006761108	0.006868427	8.59E-04	0.02951277	0.08682121
Butterfish	0.05775752	0.1701992	0.03899958	4.24E-04	0.0111276	0.002119542	0.004345061	9.54E-04	0	0.00148368	0.04504027	0.2297584	0.01780415	0.008584146	9.54E-04	4.24E-04	6.36E-04	0.009114031	0.002755405	0.01409496	8.48E-04	0.003921153	0.06835524	0.009431963	0.003603222	4.24E-04	0.01186944	0.002331496	0.0101738	0.04938533	0.06920305	0.02617635	0.001907588	0	0.002225519	0.003921153	0.004133107	8.48E-04	0.027766	0.08690123
Butterfish	0.05244681	0.1938298	0.0387234	4.26E-04	0.0137234	0.002234043	0.005638298	0.001170213	0	0.002446809	0.05202128	0.2355319	0.02148936	0.006382979	0.00106383	3.19E-04	7.45E-04	0.00606383	0.003510638	0.007553191	0.00106383	0.002659574	0.05851064	0.008085106	0.003404255	3.19E-04	0.01617021	0.00212766	0.006808511	0.05776596	0.05191489	0.01946809	0.001489362	0	0.00212766	0.004361702	0.003829787	7.45E-04	0.02840426	0.08542553
Butterfish	0.06427583	0.165904	0.05097372	4.26E-04	0.01213153	0.003724593	0.003937427	9.58E-04	0	0.001170586	0.03756518	0.1754815	0.01926147	0.008939023	0.001064169	3.19E-04	6.39E-04	0.009577525	0.002979674	0.0112802	8.51E-04	0.005959349	0.08736831	0.006917101	0.00383101	3.19E-04	0.01223795	0.002021922	0.008939023	0.05533681	0.08939023	0.01894222	0.001277003	3.19E-04	0.002234756	0.003511759	0.004682345	7.45E-04	0.02617857	0.09832925
Butterfish	0.06795805	0.1634204	0.04751712	6.42E-04	0.01401969	0.00385274	0.004601884	0.00203339	6.42E-04	0.002354452	0.03788527	0.1688784	0.01819349	0.01327055	9.63E-04	0.00203339	0.001177226	0.01166524	0.002889555	0.01904966	0.001177226	0.008026541	0.07309503	0.007919521	0.004066781	8.56E-04	0.01262842	0.00192637	0.01284247	0.05789812	0.08497432	0.02386558	0.001391267	5.35E-04	0.002354452	0.002782534	0.003424658	9.63E-04	0.02643408	0.08979024
Butterfish	0.06807062	0.1765582	0.04413954	5.32E-04	0.0128696	0.00319081	0.003935333	0.001808126	0	0.002127207	0.03669432	0.1902787	0.01786854	0.009359711	0.001169964	4.25E-04	9.57E-04	0.01063603	0.00297809	0.01297596	0.001063603	0.00319081	0.06264625	0.009572431	0.004892576	3.19E-04	0.01201872	0.002659009	0.01084876	0.05488194	0.0662625	0.03009998	0.001701766	7.45E-04	0.002339928	0.004041693	0.004360774	9.57E-04	0.0308445	0.09997873
Butterfish	0.0616199	0.1939651	0.05505558	4.24E-04	0.01259926	0.00328216	0.004552673	8.47E-04	0	0.001164637	0.03695077	0.1987295	0.02032822	0.008681842	0.001164637	3.18E-04	7.41E-04	0.008046585	0.002541027	0.009105347	9.53E-04	0.004023293	0.0585495	0.007834833	0.003176284	3.18E-04	0.01122287	0.001482266	0.009105347	0.05823187	0.05992589	0.02477501	0.001270513	3.18E-04	0.002223399	0.002646903	0.003493912	6.35E-04	0.0257279	0.1039704
Butterfish	0.07093627	0.1673205	0.04432192	5.30E-04	0.01092143	0.003605132	0.003817199	0.001060333	0	0.001802566	0.03594529	0.1900117	0.01791963	0.01028523	0.001060333	4.24E-04	6.36E-04	0.0104973	0.002756866	0.01707136	9.54E-04	0.003074966	0.06913371	0.009224897	0.004029265	3.18E-04	0.0108154	0.001908599	0.01102746	0.05619765	0.08238787	0.03074966	0.001802566	5.30E-04	0.002756866	0.002862899	0.003923232	8.48E-04	0.02481179	0.0917188
Butterfish	0.05398539	0.1870435	0.03694294	3.18E-04	0.0128083	0.00201122	0.005398539	4.23E-04	0	6.35E-04	0.04636393	0.2313962	0.01958294	0.007303906	8.47E-04	2.12E-04	5.29E-04	0.007621467	0.002963904	0.00942098	4.23E-04	0.003069758	0.05610247	0.009526834	0.004022441	2.12E-04	0.01302001	0.001905367	0.007727321	0.05504393	0.04392929	0.02667513	0.001693659	5.29E-04	0.00201122	0.003810734	0.004128295	7.41E-04	0.02773367	0.1118874
