"disc" "spick" "din" "spin" "regA" "regB"
0.533 0.277 0.072 0.118 1 0
0.475 0.228 0.072 0.226 1 0
0.5170001 0.204 0.145 0.139 1 0
0.212 0.418 0.17 0.201 1 0
0.385 0.279 0.126 0.21 1 0
0.297 0.17 0.215 0.318 1 0
0.197 0.226 0.303 0.275 1 0
0.157 0.223 0.208 0.412 1 0
0.273 0.178 0.346 0.203 1 0
0.477 0.225 0.198 0.155 1 0
0.253 0.326 0.175 0.245 1 0
0.3 0.181 0.305 0.214 1 0
0.182 0.445 0.133 0.241 1 0
0.277 0.158 0.331 0.234 1 0
0.624 0.3 0.018 0.059 1 0
0.448 0.204 0.181 0.167 1 0
0.617 0.304 0.028 0.056 1 0
0.364 0.23 0.152 0.254 1 0
0.259 0.184 0.238 0.319 1 0
0.069 0.251 0.5210001 0.158 1 0
0.196 0.425 0.118 0.261 1 0
0.142 0.152 0.373 0.333 1 0
0.637 0.171 0.08 0.113 1 0
0.279 0.169 0.247 0.31 1 0
0.328 0.45 0.063 0.159 1 0
0.529 0.19 0.119 0.162 1 0
0.464 0.359 0.083 0.09399999 1 0
0.212 0.202 0.273 0.313 1 0
0.12 0.235 0.324 0.321 1 0
0.444 0.237 0.131 0.193 1 0
0.299 0.167 0.318 0.215 1 0
0.26 0.327 0.184 0.23 1 0
0.432 0.266 0.103 0.199 1 0
0.138 0.226 0.3 0.336 1 0
0.482 0.295 0.099 0.124 1 0
0.308 0.22 0.153 0.319 1 0
0.389 0.127 0.276 0.208 1 0
0.038 0.152 0.609 0.2 1 0
0.345 0.284 0.166 0.205 1 0
0.145 0.14 0.348 0.366 1 0
0.287 0.193 0.208 0.312 1 0
0.113 0.126 0.447 0.314 1 0
0.447 0.19 0.132 0.231 1 0
0.319 0.252 0.206 0.223 1 0
0.489 0.198 0.097 0.216 1 0
0.398 0.276 0.119 0.207 1 0
0.5070001 0.191 0.09399999 0.209 1 0
0.281 0.258 0.19 0.271 1 0
0.342 0.25 0.109 0.299 1 0
0.161 0.564 0.095 0.18 1 0
0.387 0.211 0.146 0.256 0 1
0.344 0.34 0.187 0.13 0 1
0.241 0.296 0.263 0.201 0 1
0.26 0.298 0.239 0.203 0 1
0.188 0.306 0.322 0.183 0 1
0.509 0.3 0.088 0.103 0 1
0.443 0.113 0.103 0.342 0 1
0.266 0.385 0.226 0.123 0 1
0.413 0.283 0.153 0.151 0 1
0.294 0.243 0.233 0.23 0 1
0.46 0.236 0.146 0.158 0 1
0.491 0.157 0.093 0.259 0 1
0.359 0.323 0.134 0.183 0 1
0.456 0.091 0.085 0.368 0 1
0.371 0.054 0.126 0.449 0 1
0.456 0.23 0.11 0.204 0 1
0.345 0.212 0.235 0.208 0 1
0.346 0.175 0.175 0.304 0 1
0.256 0.35 0.178 0.216 0 1
0.425 0.192 0.15 0.233 0 1
0.314 0.202 0.145 0.339 0 1
0.257 0.249 0.256 0.238 0 1
0.581 0.172 0.076 0.17 0 1
0.397 0.13 0.12 0.358 0 1
0.553 0.149 0.078 0.22 0 1
0.108 0.23 0.441 0.23 0 1
0.418 0.232 0.161 0.189 0 1
0.537 0.12 0.081 0.261 0 1
0.486 0.183 0.075 0.255 0 1
0.187 0.375 0.306 0.133 0 1
0.412 0.277 0.143 0.168 0 1
0.356 0.134 0.14 0.37 0 1
0.371 0.208 0.196 0.226 0 1
0.435 0.238 0.15 0.176 0 1
0.383 0.144 0.137 0.336 0 1
0.214 0.274 0.353 0.159 0 1
0.357 0.195 0.197 0.252 0 1
0.16 0.279 0.368 0.192 0 1
0.395 0.227 0.203 0.177 0 1
0.292 0.274 0.215 0.219 0 1
0.477 0.236 0.132 0.156 0 1
0.152 0.372 0.3 0.176 0 1
0.167 0.217 0.331 0.286 0 1
0.358 0.263 0.203 0.176 0 1
0.246 0.35 0.253 0.151 0 1
0.486 0.122 0.113 0.279 0 1
0.341 0.12 0.155 0.384 0 1
0.241 0.23 0.215 0.314 0 1
0.373 0.171 0.114 0.343 0 1
0.091 0.267 0.492 0.25 0 1
