Country	KTRAN	        KOTHR	        KDUR     	KRES	        KNRES	       Category
ARG	0.012461354	0.184198133	0.083301619	0.28025142	0.439787474	3
AUS	0.055392462	0.173185373	0.219130611	0.283768304	0.26852325	4
BEL	0.035461809	0.226364254	0.223986369	0.292061381	0.222126187	4
BOL	0.011530349	0.75326785	0.062197221	0.111274655	0.061729925	2
BOT	0.01612742	0.12913198	0.275897355	0.267852481	0.310990764	3
CAN	0.020162395	0.29137834	0.094665541	0.392439285	0.201354438	4
COL	0.00978964	0.510051236	0.057581989	0.268494913	0.154082222	2
CHL	0.02636323	0.380615886	0.076238766	0.357168588	0.159613531	3
DEN	0.023967068	0.202923089	0.165103874	0.338195439	0.26981053	4
DOM	0.009677825	0.293623183	0.08772119	0.474727144	0.134250658	2
ECU	0.009652085	0.641886605	0.05243228	0.19443052	0.10159851	2
FIN	0.013957561	0.227184123	0.173058375	0.302267958	0.283531983	4
FRA	0.050113752	0.178993963	0.223657494	0.292748015	0.254486775	4
GER	0.027849073	0.217104832	0.181540981	0.319718118	0.253786997	4
GRE	0.012247335	0.393372306	0.122148019	0.309615522	0.162616819	4
GUA	0.012441894	0.486649946	0.268815511	0.227074307	0.005018342	2
HKG	0.134604767	0.052228043	0.413830561	0.216663986	0.182672643	4
HON	0.174410167	0.19448265	0.417390485	0.122351308	0.091365391	1
ICE	0.018383095	0.07113572	0.112446204	0.612932131	0.185102851	4
IND	0.015476006	0.372038977	0.135968004	0.251029738	0.225487274	1
IRE	0.033647684	0.121533233	0.220621884	0.320583286	0.303613913	4
ISR	0.009800368	0.053936131	0.19159013	0.491306086	0.253367286	5
ITA	0.026442129	0.152115236	0.166886705	0.458214583	0.196341347	4
IVC	0.018726354	0.230669373	0.182807511	0.384289754	0.183507009	1
JAM	0.07162015	0.287088626	0.263995919	0.333374186	0.043921119	2
JAP	0.046401373	0.33477738	0.190025594	0.214825131	0.213970522	4
KEN	0.006024031	0.247744536	0.167350986	0.353397025	0.225483422	1
KOR	0.017793609	0.205790335	0.120179689	0.201109994	0.455126373	3
LUX	0.015635503	0.27766447	0.179020257	0.279620572	0.248059198	4
MAD	0.007075487	0.471981513	0.262368523	0.151847709	0.106726768	1
MAL	0.007011287	0.164628763	0.230489623	0.195505738	0.40236459	1
MEX	0.031539465	0.247502162	0.196447831	0.348348087	0.176162455	3
MOR	0.005013717	0.290097294	0.08200957	0.351163252	0.271716167	2
NET	0.045949068	0.165861367	0.220472568	0.298300143	0.269416854	4
NIA	0.005964026	0.397770275	0.103536076	0.209001225	0.283728398	1
NOR	0.145018143	0.283609504	0.250553733	0.15073494	0.170083681	4
NZL	0.0415393	0.486192866	0.204156697	0.187531832	0.080579304	5
OST	0.024772457	0.241835217	0.203867119	0.262760624	0.266764582	4
PAN	0.078678776	0.490851569	0.156380896	0.113197803	0.160890957	3
PAR	0.05023068	0.005018377	0.144757772	0.794974794	0.005018377	2
PER	0.011397385	0.387038855	0.111814088	0.484728192	0.00502148	2
PHI	0.005025157	0.043552756	0.147520273	0.219935539	0.583966275	2
POR	0.028878586	0.208860152	0.141421831	0.517494764	0.103344667	4
SLE	0.06284731	0.40218092	0.2625121	0.11090145	0.16155822	1
SPA	0.006510182	0.265627998	0.069003067	0.55679444	0.102064313	4
SRL	0.008341784	0.389148471	0.048702067	0.124560715	0.429246964	1
SWE	0.024671546	0.191327703	0.158986524	0.37037939	0.254634837	5
SWI	0.013369418	0.152773213	0.169630939	0.331904968	0.332321462	5
SYR	0.035039572	0.197077915	0.107324286	0.38630771	0.274250517	2
TAI	0.019326469	0.272855523	0.248799516	0.161091288	0.297927204	3
THAI	0.01349893	0.352324158	0.19618864	0.199517106	0.238471165	2
TUR	0.022054802	0.232156999	0.196500907	0.261155642	0.28813165	3
UK	0.041568107	0.073740364	0.298971922	0.32416378	0.261555827	4
USA	0.032885528	0.157020487	0.164615814	0.421873622	0.22360455	4
VEN	0.035446795	0.006914265	0.187064831	0.278381186	0.492192924	3
ZIM	0.005025618	0.288908179	0.042031064	0.114431076	0.549604063	1
